date,daOfWeek,holidayName,productName,quantity,price
2012/1/1,Sun,元日,赤城　ガリガリ君ソーダ　１１３ｍｌ,0,0
2012/1/2,Mon,振替休日,赤城　ガリガリ君ソーダ　１１３ｍｌ,4,252
2012/1/3,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,2,126
2012/1/4,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,189
2012/1/5,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,189
2012/1/6,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,0,0
2012/1/7,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,0,0
2012/1/8,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,150
2012/1/9,Mon,成人の日,赤城　ガリガリ君ソーダ　１１３ｍｌ,0,0
2012/1/10,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,0,0
2012/1/11,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,0,0
2012/1/12,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,189
2012/1/13,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,0,0
2012/1/14,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,2,97
2012/1/15,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,15,750
2012/1/16,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,150
2012/1/17,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,1,50
2012/1/18,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,0,0
2012/1/19,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,2,126
2012/1/20,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,189
2012/1/21,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,189
2012/1/22,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,1,63
2012/1/23,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,2,126
2012/1/24,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,0,0
2012/1/25,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,2,126
2012/1/26,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,1,63
2012/1/27,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,11,689
2012/1/28,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,4,176
2012/1/29,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,1,63
